Id_UT	Toponimo	Comune	Tav_IGM	Masl	Tipologia_UT	Tipologia_Sito	Descrizione	X	Y	Compilatore	Responsabile	m x m	Ha	Latitudine	Longitudine	Anomalia
R12	Contrada Franchetto	Castel di Iudica	F. 269 II NO	193	Area di frammenti	Villaggio	L'area di frammenti fittili (m 70 x 70) si estende lungo il pendio meridionale di un basso poggio situato a SO rispetto a Monte Turcisi e a SE di Borgo Franchetto. La collina è accessibile attraverso una strada sterrata che costeggia l'intero poggio e che si apre ad E rispetto alla diramazione settentrionale della SP 102. Sulla sommità del poggio è situata una grande masseria, ben visibile dalla strada, in completo stato di abbandono. La ricognizione è stata condotta sul terreno al momento dell'aratura: grazie all'ottima visibilità, è stato possibile osservare la distribuzione omogenea dei materiali lungo il pendio meridionale, probabilmente a causa del dilavamento. In base all'analisi dei materiali rinvenuti, l'occupazione del sito è da ascrivere ad un arco cronologico che si estende verosimilmente dal III sec. a.C. alla tarda età imperiale. Pochi sono i materiali attribuibili alla fase repubblicana: le uniche testimonianze orli di anfore vinarie del tipo MGS VI e Dressel 1. L'abbondante presenza di ceramica fine da mensa e il numero cospicuo numero di resti di anfore da trasporto, di ceramica comune e di materiale da costruzione, potrebbe far supporre l'esistenza di un insediamento rurale, che si sviluppò soprattutto nella media e tarda età imperiale. Tale insediamento con molta probabilità, proseguì fino al VII sec. d. C., come testimoniano i frammenti di ceramica attribuibili al periodo bizantino	476153	4148848	Saitta 2005		70 x 70	0.49	37.486232	14.730257	
R120	Poggio Cocola	Paternò 	F. 269 I SO	360	Area di frammenti	n.d.	Poggio Cocola, in località Poira, è situato a S del corso del fiume Simeto, all'estremità occidentale del massiccio calcareo di Pietralunga: sulla collina sono i resti di un insediamento sviluppatosi in età arcaica indagato negli anni Cinquanta da G. Rizza e più recentemente dalla Soprintendenza di Catania (vedi scheda X). La ricognizione è stata condotta  a NO del poggio, in un’ampia area coltivata a uliveto (ha 2): è stata rinvenuta un’abbondante quantità di ceramica distribuita sulla superficie in maniera omogenea. I reperti sono in larga parte riconducibili a ceramica di produzione indigena a decorazione dipinta della facies di Licodia Eubea. Numerosi sono anche i frammenti di coppe di tipo ionico la cui produzione termina alla metà del VI sec. a.C. Ai margini dell’uliveto sono stati rinvenuti un frammento di macina di basalto e un grosso frammento di pithos	483728	4156423	Maria 2008		200 x 200	2	37.554674	14.815773	
R121	Contrada Muglia Bassa	Centuripe	F. 269 I SO	128	Area di frammenti	n.d.	L'area di frammenti fittili si estende all'interno di una proprietà privata in cui è impiantato un agrumeto. Il terreno, situato a ca m 500 dalla SS 192 in Contrada Muglia, è completamente recintato e la visibilità risulta limitata dalla presenza degli alberi di agrumi. I frammenti sono distribuiti in maniera sparsa in un'area di m 15 x 10. Nel sito sono stati rinvenuti due frammenti dell'Età del Rame, attribuibili alla facies di Serraferlicchio. La prevalenza di frammenti ceramici relativi alla facies di Castelluccio e la presenza di strumenti litici fanno supporre l'esistenza di un insediamento nell'Età dell'Antico Bronzo. In seguito il sito non mostra segni di frequentazione umana fino al I sec. d.C., come attesta il rinvenimento di frammenti di ceramica comune romana. Non sono stati rinvenuti materiali relativi al II e III sec. d.C., mentre il periodo compreso fra la fine del IV e l'inizio del V secolo è documentato dalla presenza sporadica di ceramica africana da cucina	475999	4155273	Consoli 2008		15 x 10	0.015	37.54414	14.728305	
R122	Casa Sciacca	Centuripe	F. 269 I SO	179	Area di frammenti	n.d.	L'area di frammenti fittili (m 5 x 4) si estende sulla sommita di una bassa collina (179 metri s.l.m.) coltivata a frumento; l’area è facilmente accessibile attraverso una strada sterrata che fiancheggia l’altura. I materiali sono stati rinvenuti esclusivamente sul settore O del pianoro, in prossimità di un casolare abbandonato. Al periodo compreso fra la fine del IV e l'inizio del II sec. a.C. sono attribuibili solo due frammenti di ceramica a vernice nera. Il numero considerevole di frammenti di sigillata italica testimonia l’installazione di una fattoria romana nell’area a partire dalla seconda metà del I sec. d.C. che si protrae ininterrottamente fino al V sec. d.C., come documentano i frammenti di sigillata africana D e la ceramica africana da cucina	481880	4154335	Consoli 2008		5 x 4	0.002	37.535819	14.794913	
R123	Casa Irmana	Paternò 	F. 269 I SO	139	Area di frammenti	Fattoria	L’area di frammenti fittili si estende su un’ampia zona pianeggiante situata immediatamente a S della strada sterrata che conduce verso Contrada Poira, nota come Casa Irmana. La ricognizione dell’area, coltivata estensivamente a frumento, è stata condotta durante il periodo dell’aratura. L’area di frammenti fittili (m 40 x 160) si estende a cavallo tra i due casolari: la distribuzione dei reperti non si presentava omogenea, ma la densità sembra essere maggiore a ridosso delle due strutture. Omogenea era la distribuzione dei frammenti di ceramica indigena (facies di Licodia Eubea) frammisti ad altri di ceramica greca d'importazione (ceramica ionica, ceramica attica). Nel settore orientale dell'area, si è raccolta una percentuale maggiore di frammenti di anfore da trasporto e di ceramica comune. I materiali rinvenuti consentono di ipotizzare che l’area sia stata occupata dal VII al III sec. a.C., con uno iato databile tra gli inizi e la fine del IV sec. a.C., anni per i quali non ci sono attestazioni	482596	4154581	Consoli 2008		40 x 160	0.5	37.53805	14.803	
R124	Casa Cutore	Paternò 	F. 269 I SO	139	Area di frammenti	n.d.	L'area di frammenti fittili si estende ai piedi di una modesta altura (m 183 slm), a circa km 2 a E della UT R123. Tra casa Cutore, edificio che dà il nome alla proprietà, e le pendici meridionali dell’altura, la ricognizione ha individuato un’area di frammenti (m 5 x 6): i materiali rinvenuti sono in prevalenza relativi alla facies di Licodia Eubea, ceramica indigena dipinta, e ceramica attica a  vernice nera, elemento che documenta le strette relazioni fra gli indigeni e i greci. L'occupazione dell'area non sembra protrarsi oltre la fine del V e gli inizi del IV sec. a.C., come documenta il rinvenimento di un frammento di patera a vernice nera	484552	4154754	Consoli 2008		5 x 6	0.003	37.539645	14.825148	
R125	Masseria Gammarella	Paternò 	F. 269 I SO	137	Area di frammenti	n.d.	L'area di frammenti fittili (m 7,5 x 7,5) si estende su un terreno pianeggiante coltivato a frumento di pertinenza della masseria Gammarella. La ricognizione dell’area ripetuta in differenti periodi dell’anno ha consentito di documentare un’occupazione ininterrotta dal VI sec. a.C. fino agli inizi del III sec. a.C. Tra i reperti rinvenuti, si segnala la presenza di ceramica attica e frammenti di anfore da trasporto del tipo "ionico-massaliota". Non sono documentati materiali databili ad epoche posteriori al III sec. a.C.	482801	4154048	Consoli 2008		7,5 x 7,5	0.005	37.53325	14.805333	
R126	Contrada Tanazzi	Paternò 	F. 269 I SO	151	Area di frammenti	n.d.	L'area di frammenti fittil (m 10 x 10) si estende in un’area pianeggiante a ca m 700 a S di masseria Gammarella (R126), in prossimità di un affluente minore del fiume Dittaino. L’area di frammenti è stata individuata in un agrumeto: i materiali rinvenuti sono riconducibili a un’occupazione dell’area a partire dal VII sec. a.C. e sono in prevalenza relativi alla facies di Licodia Eubea; al V sec. a.C. sono ascrivibili alcuni frammenti di ceramica attica a vernice nera. Il sito risulta essere occupato fino agli inizi del III sec. a.C., come attesta il rinvenimento di alcuni frammenti di lucerne acrome e di ceramica comune ellenistica. Non sono attestati frammenti ceramici attribuibili ad epoche successive	482766	4153586	Consoli 2008		10 x 10	0.01	37.529085	14.804948	
R127	Masseria Previtera	Castel di Iudica	F. 269 I SO	141	Area di frammenti	n.d.	L'area di frammenti fittili (m 5 x 5) si estende a E del corso del fiume Dittaino, nei pressi della masseria Previtera; si tratta di una zona collinare coltivata a frumento, caratterizzata da un terreno argilloso; nel settore SO dell’area scorre un torrente, affluente del Dittaino, le cui sponde sono coperte da fitta vegetazione. Il terreno è situato a circa m 200 a N del Vallone della Lavina ed è raggiungibile attraverso una strada sterrata che lo costeggia sui lati E e N. I frammenti rinvenuti abbracciano un arco cronologico di quasi tre secoli, dal II al IV sec. d.C. e testimoniano una frequentazione umana del sito in età imperiale, probabilmente relativa ad un modesto centro agricolo data la totale assenza di ceramica fine da mensa; tra i materiali raccolti si segnala la presenza residuale di due frammenti di tegole pettinate	474169	4153197	Consoli 2008		5 x 5	0.002	37.525378	14.707663	
R128	Masseria Ingalbone	Castel di Iudica	F. 269 I SO	127	Area di frammenti	n.d.	L'area di frammenti fittili (m 35 x 40) si estende in una zona collinare coltivata a grano, nella settore NE del terreno adiacente alla masseria Ingalbone (m 140 slm) nei pressi di un casolare. Al momento della ricognizione il terreno era arato, quindi la visibilità ottima: è stata appurata che la distribuzione dei frammenti fosse non omogenea: frammenti di tegole, di sigillata africana e di ceramica africana da cucina si concentravano nel settore meridionale dell’area, a ridosso del casolare, mentre nel settore settentrionale, sono stati rinvenuti frammenti di ceramica comune e di anfore da trasporto. I materiali sembrano documentare l'esistenza di una fattoria attiva dalla fine del I sec. d.C. al IV sec. d.C.	476132	4151684	Consoli 2008		35 x 40	0.1	37.511794	14.729927	
R129	Masseria Cantarella	Castel di Iudica	F. 269 I SO	88	Area di frammenti	n.d.	L'area di frammenti fittili (m 40 x 145) è situata in un’area pianeggiante a circa m 200 a NE dalla SS 192, nei pressi della masseria Cantarella, edificio rurale risalente all'epoca fascista: al momento della ricognizione il terreno era in parte coltivato a frumento e in parte coperto da vegetazione spontanea; limite E dell’area è un torrente, affluente del fiume Dittaino che scorre a S. La distribuzione dei frammenti si estendeva lungo una fascia del settore N del campo coltivato. La maggior parte dei materiali rinvenuti sono databili al Bronzo Antico (facies di Castelluccio); gli altri materiali indicano una presenza stabile in età romana, tra la la prima e la media età imperiale. Dall'indagine di superficie non è emerso materiale attribuibile ad un'epoca posteriore al III sec. d.C.	481066	4151290	Consoli 2008		40 x 145	0.5	37.508357	14.785778	
R13	Contrada Carrubbello	Ramacca	F. 269 II NO	163	Area di frammenti	Fattoria	L'area di frammenti (m 50 x 50) si estende lungo le pendici SE di un piccolo poggio, in prossimità della Masseria Carrubbello in Contrada Carrubbo/Carrubbello a E della SP 107. La bassa collina può essere raggiunta attraverso una strada sterrata che percorre in senso NS l'area oggetto d'indagine. Al momento della ricognizione, il terreno, adibito alla piantagione di carciofi, presentava una buona visibilità, che ha permesso la raccolta di una discreta quantità di frammenti: tra i materiali si segnalano fr. di laterizi, di ceramica fine da mensa e di contenitori da trasporto di fabbricazione africana	476558	4146637	Saitta 2005		50 x 50	0.25	37.466313	14.734909	
R130	Stazione Ferroviaria di Sferro	Paternò 	F. 269 I SO	67	Area di frammenti	n.d.	L'area di frammenti fittili si estende (m 70 x 40), su un ampio terreno incolto pianeggiante privo di recinzione e facilmente accessibile dalla SS 192. L'area è situata a ridosso della stazione ferroviaria di Sferro, a SE delimitata da un agrumeto e a SO dal corso del fiume Dittaino. La ricognizione, ripetuta in periodi differenti dell’anno, ha individuato un’ampia e distribuzione di frammenti; alcuni sono attribuibili alla facies di Castelluccio e potrebbero riferirsi ad una frequentazione dell’area  nell'Antico Bronzo. L’occupazione del sito si data alla Prima età imperiale, arco cronologico al quale possono essere datati i numerosi frammenti di tegole piane e curve con orlo ingrossato, di ceramica comune  e rozza terracotta (I sec. d.C.). Non sono documentati materiali successivi all’età flavia	481561	4150552	Consoli 2008		70 x 40	0.28	37.501715	14.791386	Anomalia su GOOGLE MAPS
R131	Masseria Turcisi	Castel di Iudica	F. 269 I SO	132	Area di frammenti	n.d.	L'area di frammenti fittili si estende sulle pendici settentrionali di Monte Turcisi e in prossimità dell'omonima masseria. La morfologia del territorio è particolare per la presenza di calanchi e di ripide pareti calcarenitiche che hanno costituito un limite per la ricognizione. Le pendici del monte sono coperte da vegetazione spontanea che rende la zona particolarmente adatta al pascolo. I rari frammenti fittili sono stati raccolti sporadicamente lungo il versante settentrionale del monte (m 20 x 250) e attestano una frequentazione del sito durante il VI sec. a.C.: molti infatti sono i materiali di età arcaica fra cui particolarmente significativa è la presenza di un frammento di coppa di tipo ionico B2. Il rinvenimento di materiali attribuibili al I-II sec. d.C. attesterebbe la rioccupazione dell'area durante la prima età imperiale, non attestata sulla sommità	477879	4150488	Consoli 2008		20 x 250	0.5	37.501057	14.749731	
R14a	Contrada Monaco (Cisterna)	Ramacca	F. 269 II NO	106	Area di frammenti	Cisterna	In contrada Monaco, a circa 3 Km a NO di contrada Castellito, sotto le pendici occidentali di un basso poggio, è ubicata una grande cisterna, raggiungibile attraverso una strada sterrata che si apre a ca km 2,5 a SE nella  SP 107. Tale struttura è costituita da due vasche di forma rettangolare, adiacenti l'una all'altra, che misurano insieme m 26,5 m di lunghezza per m 7,55  di larghezza, e da un canale per la conduttura dell' acqua di m 23 m di lunghezza. La prima vasca (m 12,60 x 7,57) presenta una copertura a botte interamente rivestita di cemento, sotto il quale sono visibili dei mattoni che dovevano costituire gli elementi di una precedente copertura. Il muro del prospetto occidentale di tale struttura che dalla quota 0,00 misura m 3,20 di altezza è formato da conci di colore beige o biancastro e in prossimità della volta, da mattoni disposti immediatamente al di sotto dello strato di cemento della copertura. Sul prospetto è visibile inoltre uno stemma data poco leggibile, che indica l'anno 1810 e due lettere (D. M.) che dovrebbero indicare le iniziali del Duca di Misterbianco, proprietario dell'ex Feudo Monaco. Da un'apertura del muro occidentale, di m 1,88 di lunghezza per m 0,98 di larghezza, è possibile osservare l'interno della vasca, che è circondata da una risega di m 0, 25 di larghezza: della vasca della cisterna, colma d'acqua al momento dei sopralluoghi, è possibile calcolare la profondità a circa m 4,50 dalla nostra quota 0,00, che corrisponde all'imposta della risega. Inoltre nel muro settentrionale a m 9,90 di lunghezza e a m 1,45 di altezza dalla quota 0,00 s'imposta un'altra apertura, di m 1,50 di lunghezza per 0,90 di altezza e sempre a m 9,90 s'inserisce in senso nord-sud un abbeveratoio per animali di m 4,70 di lunghezza per m 1,50 di larghezza. L'altra vasca si estende per m 13,80 di lunghezza e per m 7,55 di larghezza e risulta priva di qualsiasi copertura. La struttura è simile alla prima, con conci di colore beige o biancastro e con una risega interna che circonda tutta la struttura e si estende per una larghezza di m 0,23; la profondità della vasca, stimata a m 3,80, potrebbe non essere quella effettiva, poiché l'assenza di copertura facilita il deposito di ogni tipo di materiale. Sul muro occidentale, che presenta alcuni strati di crollo, alla quota 0,00 e a m 3,20 dal muro settentrionale si apre una fessura di m 0,80 x 0,80 dalla quale si diparte un canale di m 23 di lunghezza	477931	4146193	Saitta 2005			0.0206	37.462721	14.75001	
R14b	Contrada Monaco II	Ramacca		107	Area di frammenti	n.d.	Ricognizioni ripetute a Contrada Monaci hanno permesso di identificare un'area di frammenti (m 20 x 25) a NE della cisterna (UT R13), ai piedi di un basso poggio. Fatta eccezione per alcuni frammenti di industria lirica, la presenza di ceramica fine da mensa di produzione africana A, C e D data la fase di occupazione romana databile tra la media e tarda età imperiale. Riguardo alla possibile natura dell'insediamento, si segnala il rinvenimento di ceramica da fuoco (orlo di pentola di cosiddetta "ceramica di Pantelleria"), di contenitori da trasporto (fr. di anfora tipo africana piccola) e di uno scarto dì lavorazione che potrebbe indiziare l'esistenza di una fornace	478007	4146295			20 x 25	0.05	37.463269	14.751312	
R14c	Contrada Monaco III	Ramacca		121	Strutture murarie; Area di frammenti	n.d.	La ricognizione condotta sulla sommità pianeggiante del basso poggio ha identificato una vasta area di frammenti: grazie alla visibilità buona dovuta all'aratura del terreno è stato possibile identificare la distribuzione omogena di laterizi; di ceramica comune e da fuoco; di frammenti di ceramica fine da mensa che datano la frequentazione del pianoro per tutta l'età imperiale. L'area di frammenti si estende anche nella porzione di pianoro non coltivata: la presenza di possibili allineamenti interpretabili come strutture murarie non è accertabile a causa della scarsa visibilità	478342	4146326			50 x 50	0.25	37.463558	14.755096	
R15	Masseria La Cattiva	Ramacca	F. 269 II NO	118	Area di frammenti	n.d.	L'area di frammenti (m 10 x 10) si estende lungo il pendio occidentale di un basso poggio (m 164 slm), sul quale è situata la masseria La Cattiva. La zona è accessibile attraverso una strada sterrata che raggiunge agevolmente la sommità della collina e che si imbocca, per chi proviene dalla SP 102, a ca km 3,5 a SO della SP 107. Le ricognizioni ripetute nell'area, anche in occasione dell'aratura, hanno messo in evidenza una notevole quantità di pietrame e di rari frammenti di mattoni e tegole, di contenitori da trasporto e di un tappo d'anfora. Inoltre gli unici due frammenti databili con certezza non hanno alcun rapporto di continuità cronologica	475490	4145824	Saitta 2005		10 x 10	0.01	37.458957	14.722858	
R16	Contrada Castellito	Ramacca	F. 269 II NO	122	Area di frammenti	Insediamento	L'area di frammenti fittili (m 50 x 50) si estende alle pendici meridionali di un basso poggio raggiungibile attraverso una strada sterrata che costeggia il rilievo da O e che, per chi proviene dalla  SP 102, si apre ad E della SP 107. L'area è situata circa 2 Km a NO dal sito della villa di Contrada Castellito (Sito X). I materiali rinvenuti durante la ricognizione rivelano una frequentazione che va dagli inizi del II sec. d. C., con 2 frammenti di piatti forma Lamboglia 4/36 B, fino al tardo VII sec. d.C. La ricognizione ha fatto emergere una discreta quantità di sigillate, ascrivibili soprattutto alla produzione D, tra le quali si sottolinea la presenza di pareti con decorazioni a rami di palma, cerchi concentrici e cerchi dentellati; tre frammenti di ceramica africana da cucina; tre orli di bacini con pareti solcate e quattro frammenti di anfore di produzione africana. La presenza di una discreta quantità di ceramica, sopportata da qualche rinvenimento di materiale da costruzione, può indicare l'esistenza a N della villa di un piccolo insediamento rurale probabilmente a sua diretta dipendenza	478475	4145125	Saitta 2005		50 x 50	0.25	37.452731	14.756631	
R17	Contrada Capezzano	Ramacca	F. 269 II NO	117	Area di frammenti	Insediamento	L'area di frammenti (m 100 x 120) è ubicata lungo le pendici SO di un basso poggio, che degrada in maniera decisa verso S. La zona è raggiungibile attraverso una strada sterrata che si apre poco dopo il Km 11 della SS 288 di Aidone e che risale in direzione NO. La contrada su cui ricade questa zona di rinvenimenti è chiamata Capezzano o Capezzana, toponimo documentato nel 1252 nella forma "Capitana, Capifana" che potrebbe essere una corrotta sopravvivenza della denominazione della mansio Capitoniana, statio dell'Itinerarium Antonini della via interna Catina Agrigentum. Nell'area è stata rinvenuta una buona quantità di frammenti fittili che testimonia l'esistenza di un insediamento che si sviluppò soprattutto nella tarda età imperiale. I materiali raccolti, fatta eccezione per un frammento di sigillata italica di forma non identificabile, si articolano cronologicamente tra la fine del I sec. d.C. e il VI/VII sec. d.C. La fase storica più tarda è quella maggiormente rappresentata ed è costituita dalle sigillate di produzione africana D (69 frammenti), tra le quali emergono le forme Hayes 61 e le sue varianti, i frammenti di vasi a listello e le pareti con decorazioni geometriche e floreali, e frammenti di sigillata focese, (4 frammenti), pertinenti alla forma 3 di Hayes.  Il vasellame fine da mensa è accompagnato da quattro rinvenimenti di ceramica africana da cucina (3 frammenti) e da due frammenti, molto lacunosi, di lucerne (2 frammenti), ascrivibili allo stesso periodo cronologico dei precedenti ritrovamenti. Tra la ceramica comune, oltre agli orli di bacini con pareti interne solcate  (5 frammenti), si segnala la presenza di pareti di bacini con grosse scanalature esterne , caratteristici dell'epoca bizantina, e di un frammento di casseruola di "ceramica di Pantelleria", che costituisce il secondo esemplare rinvenuto nella zona, dopo quello di Contrada Monaco. La stessa cronologia caratterizza i frammenti di anfore (7 frammenti), di produzione africana alle quali si associa il rinvenimento di due tappi circolari con foro centrale. Infine, la presenza di elementi fittili di copertura in numero considerevole (14 frammenti) supporta l'ipotesi che in quest'area, vi fosse un insediamento umano stabile, di tipo rurale, probabilmente attivo fino ad età bizantina 	474453	4144403	Saitta 2005		100 x 120	1.2	37.446121	14.711193	
R18	Contrada Raso	Ramacca	F. 269 II NO	85	Area di frammenti	Insediamento	L'area di frammenti fittili (m 120 x 120) si estende lungo un terreno pianeggiante, ubicato a ca 2 Km a NO dal punto in cui la  SP 107, che percorre da NS il territorio oggetto della ricognizione, s'interseca con la SS 288 di Aidone.  Al momento dell'indagine, l'areale della dispersione dei frammenti era articolato su due terreni, uno adibito alla coltivazione di grano e l'altro alla piantagione di agrumi, e presentava al suo interno una distribuzione specifica. I frammenti di ceramica fine da mensa e i resti di lucerne si estendevano, infatti, nel settore E dell'agrumeto, i contenitori da trasporto, la ceramica comune e quella medievale erano concentrati nell'area del terreno cerealicolo; frammenti di materiale da costruzione erano distribuiti in maniera omogenea su entrambi i terreni. Questa articolazione della distribuzione potrebbe far supporre l'esistenza di un edificio, molto ampio con due o più spazi distinti, destinati a diverse attività. Dall'analisi dei materiali e dal panorama cronologico emerso si può evincere un'occupazione stabile del sito a partire dalla fine del I sec. a.C., attestata dall'abbondante quantità di sigillata italica e di ceramica a pareti sottili. Questo insediamento perdurò, con una certa continuità, durante i secoli successivi, come attestano i frammenti di sigillata A e D , quelli di ceramica a pareti sottili, e i resti di lucerne, tra le quali si evidenzia la presenza di un'ansa del tipo "a riflettore" caratteristica delle lucerne a doppie volute, con becco ad ogiva. Alla ceramica fine da mensa si associa un'altrettanta cospicua quantità di ceramica africana da cucina, di vasellame di uso domestico e di anfore da trasporto, che evidenziano la presenza di un insediamento umano stabile, molto articolato. Il sito, inoltre, continuò ad essere frequentato anche in epoca bizantina, in età araba e durante il medioevo, come attestano i frammenti di catini con invetriatura piombifera e decorazione a solcature. I materiale emersi nella ricognizione ripetuta di quest'area indicano la chiara continuità di occupazione del sito 	475951	4143649	Saitta 2005		120 x 120	1.44	37.439365	14.728142	
R19	Masseria Pignato	Ramacca	F. 269 II NO	86	Area di frammenti	Insediamento	Un'area di frammenti fittili (m 115 x 65) è stata rilevata nella proprietà Palumbo: il casolare, noto come Masseria Pignato, sorge sulla sommità di un basso poggio e sovrasta una vasta estensione territoriale, adibita principalmente alla coltivazione di olive e di cereali. L'area può essere raggiunta attraverso una strada sterrata che, risalendo da S la SP 107, si apre a circa 2 Km ad E della suddetta strada e conduce comodamente alla masseria, ancora oggi abitata. L'orto situato a pochi metri a SO del casolare ha posto in luce i rinvenimenti di ceramica fine da mensa e di ceramica africana da cucina, mentre la ceramica comune e le anfore di fabbricazione africana sono state raccolte lungo il pendio settentrionale che dall'orto scende a valle. Tra i materiali rinvenuti si sottolinea la presenza di un frammento di coppa forma Lamboglia 43, prodotta in sigillata africana C, di due orli di vasi a listello forma Lamboglia 24/25 e di due anfore africane del tipo Keay LXI e LXII, che attestano una persistenza del sito in età tarda. Dal panorama cronologico emerso, si può constatare la presenza di un piccolo insediamento rurale, ascrivibile alla media e tarda età imperiale, che può essere confrontato con gli altri insediamenti evidenziati nell'area oggetto dell'indagine	477883	4143859	Saitta 2005		115 x 65	0.682	37.441306	14.749975	
R2	Contrada Favate	Castel di Iudica	F. 269  III  NE	189	Area di frammenti	Fattoria	La ricognizione di Contrada Favate si è concentrata tra le ampie distese coltivate a frumento attraversate in senso EO dalla SS 288. L’area di frammenti è stata individuata a E della statale (km 20), al di sopra di un pianoro incolto (m 120 x 25). La distribuzione dei reperti al momento della ricognizione si caratterizzava per la presenza di frammenti di tegole e di anfore da trasporto lungo i versanti N e S del pianoro, e di ceramica fine da mensa e da cucina lungo il crinale al di sopra del pianoro (m 4 x 50). In base ai materiali rinvenuti, è possibile ipotizzare l’esistenza nell’area di una fattoria dalla lunga storia insediativa: i reperti più antichi sono riconducibili a un’occupazione già in età repubblicana: la presenza di Sigillata Italica di età augustea, di Sigillata Orientale B chiarisce la sopravvivenza del sito rurale anche in età imperiale: la massima espansione della fattoria si ebbe probabilmente tra la media e tarda età imperiale, come è attestato dal considerevole numero di frammenti di Sigillata Africana D (III-V sec. d.C.)	468645	4146034	Laureanti 2007	E. Procelli; E. Tortorici	4 x 50	0.02	37.460643	14.645452	
R20	Contrada Gabella	Ramacca	F. 269 II NO	67	Area di frammenti	n.d.	L'area di frammenti fittili (m 30 x 30) si estende su un'ampia estensione pianeggiante alla coltivazione di cereali situata a N del corso del fiume Gornalunga. Nonostante l'ottima visibilità del terreno, si sono rinvenuti esclusivamente strumenti litici e scarti di lavorazione, indizi di un insediamento stabile, la cui datazione, a causa della mancanza di ceramica, non può essere precisata. La contrada in cui è ubicato il giacimento litico è costeggiata a N dalla SS 288 di Aidone e ad O dalla SP 107 che, dall'incrocio con la suddetta statale, procede verso sud. L'area, inoltre, si sviluppa in prossimità dell'alveo del fiume Gornalunga, in un territorio particolarmente ricco dal punto di vista insediativo, fin dall'età  preistorica. Numerosi sono, infatti, i siti preistorici noti nell'area (Poggio Canuta, Poggio delle Forche, Perriere Sottano), testimoni della predilezione delle popolazioni del Bronzo antico per l'occupazione di piccoli poggi dai quali dominare le fertili pianure alluvionali ricche d'acqua	476248	4141541	Saitta 2005		30 x 30	0.09	37.420371	14.731567	
R21	Masseria Collura		F. 269 II NO	59	Area di frammenti	n.d.	L'area di frammenti (m 40 x 40) si estende in una vasto terreno coltivato al momento della ricognizione, di pertinenza della Masseria Collura: accessibile dalla SP 202, l'area è ubicata a O dal corso del fiume Dittaino e circoscritta a E da un canale della bonifica. L'areale era caratterizzato dalla dispersione in superficie di frammenti di laterizi, di ceramica fine da mensa e comune	483914	4148914	Coppola - Sirena 2012 		40 x 40	0.16	37.486994	14.818043	
R22	Contrada Mirrino		F. 269 II NO	111	Area di frammenti	n.d.	L'area di frammenti (m 90 x 100) si estende su un basso poggio situato a S della SP 102, dalla quale si giunge mediante una strada sterrata che delimita l'area a E. Le ripetute ricognizioni condotte hanno appurato l'esistenza di un vasto areale di dispersione di materiale archeologico frammentario, riconducibili a materiale edilizio di copertura, contenitori di grandi dimensioni e ceramiche fini da mensa. L'impianto di un vigneto (2010)  nel settore SO dell'area ha obliterato parte del sito, probabilmente identificabile come un insediamento a vocazione rurale che prosperò nel corso dell'età imperiale	479991	4146807	Coppola - Sirena 2012 		90 x 100	0.09	37.467926	14.773725	
R23	Masseria Intuppatello		F. 269 II NO	70	Area di frammenti	n.d.	Masseria Intuppatello è situata a S della SP 102. dalla quale è raggiungibile grazie a una strada sterrata che attraversa le vaste estensioni di frutteti che caratterizzano l'area. L'area di frammenti (m 25 x 25) si estende su un basso poggio a E del fiume Dittaino: le ricognizioni ripetute hanno identificato la dispersione omogenea di frammenti di materiale edilizio, di contenitori di grandi dimensioni e di ceramica fine da mensa. In mase ai materiali rinvenuti, è possibile ritenere che l'area fu occupata da una fattoria attiva tra la fine dell'età repubblicana e la prima età imperiale e poi di nuovo tra la tarda età imperiale e l'età bizantina	482772	4145465	Coppola - Sirena 2012 		25 x 25	0.0625	37.456024	14.803985	
R24	Masseria Castellito		F. 269 II NO	91	Area di frammenti	n.d.	L'area di frammenti (m 70 x 120) è compresa nelle proprietà di Masseria Castellito, situata a N della SS 288 dalla quale è raggiungibile mediante una strada sterrata. La ricognizione è stata condotta nelle immediate vicinanze del sito archeologico noto come Villa di Castellito, nei campi coltivati che si estendono a E e a N. a varie condizioni di visibilità, ottime nel periodo dell'aratura. I materiali rinvenuti nel corso della ricognizione mettono in luce la lunga storia insediativa dell'area: oltre alle tracce di frequentazione di età preistorica, si segnala la presenza di frammenti di ceramiche ellenistiche e di età repubblicana; la lunga continuità di occupazione per tutta l'età imperiale è testimoniata dalla presenza di numerosi frammenti di ceramiche fini da mensa	480203	4144836	Saitta 2006		70 x 120	0.84	37.450165	14.776176	
R25	Masseria Stimpato		F. 269 II NO	27	Area di frammenti	n.d.	Masseria Stimpato è situata a N della SS 288, dalla quale è immediatamente accessibile. La ricognizione è stata condotta nella vasta area della proprietà coltivata a grano: l'area di frammenti fittili (m 40 x 40) è stata identificata nel corso di due ricognizioni condotte in due periodi distinti dell'anno (autunno 1997-settembte 2014). La dispersione dei reperti è omogenea: pur essendo presenti frammenti che attestano la lunga frequentazione dell'area (facies di Stentinello), la maggior parte del materiale raccolto si data all'età imperiale	482846	4144000	Coppola - Sirena 2012		40 x 40	0.84	37.442682	14.806077	anomalia su GOOGLE MAPS
